Make,Model,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,MSRP
BMW,1 Series M,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,46135
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,40650
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,36350
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,29450
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,34500
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,31200
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,44100
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,39300
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,36900
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,37200
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,39600
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,31500
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,44400
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,37200
BMW,1 Series,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,48250
BMW,1 Series,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,43550
Audi,100,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2000
Audi,100,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,100,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2000
Audi,100,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,2000
Audi,100,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,100,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2000
FIAT,124 Spider,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27495
FIAT,124 Spider,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24995
FIAT,124 Spider,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28195
Mercedes-Benz,190-Class,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
Mercedes-Benz,190-Class,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,2000
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,32850
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,38650
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,48750
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,34850
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,40650
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,44150
BMW,2 Series,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,32850
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,46150
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,50750
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,46450
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,49050
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,51050
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,44450
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,38950
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,33150
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35150
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,40950
Audi,200,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Audi,200,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,2000
Audi,200,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,200,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000
Audi,200,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,2000
Audi,200,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25170
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23950
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29370
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26625
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30825
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27795
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31785
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29905
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22490
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27570
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25690
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24490
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29905
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31785
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26685
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22490
