Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Vehicle Style,highway MPG,city mpg,MSRP,Vehicle Size_Compact,Vehicle Size_Large,Vehicle Size_Midsize,Driven_Wheels_all wheel drive,Driven_Wheels_front wheel drive,Driven_Wheels_rear wheel drive,Number of Doors_2,Number of Doors_3,Number of Doors_4,Transmission Type_AUTOMATED_MANUAL,Transmission Type_AUTOMATIC,Transmission Type_DIRECT_DRIVE,Transmission Type_MANUAL,Transmission Type_UNKNOWN
4,21,8,0.33466533466533466,3,8,0.07344632768361582,0.1386861313868613,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,21,8,0.2997002997002997,3,6,0.07909604519774012,0.1386861313868613,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,21,8,0.2997002997002997,3,8,0.07909604519774012,0.145985401459854,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,21,8,0.22977022977022976,3,8,0.07909604519774012,0.13138686131386862,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,21,8,0.22977022977022976,3,6,0.07909604519774012,0.13138686131386862,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,22,8,0.22977022977022976,3,8,0.07909604519774012,0.13138686131386862,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,22,8,0.2997002997002997,3,6,0.07344632768361582,0.12408759124087591,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,22,8,0.2997002997002997,3,8,0.07909604519774012,0.145985401459854,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,22,8,0.22977022977022976,3,6,0.07909604519774012,0.13138686131386862,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,23,8,0.22977022977022976,3,6,0.07627118644067797,0.13138686131386862,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,23,8,0.2997002997002997,3,8,0.07909604519774012,0.145985401459854,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,23,8,0.22977022977022976,3,8,0.07909604519774012,0.1386861313868613,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,23,8,0.2997002997002997,3,6,0.07909604519774012,0.1386861313868613,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,23,8,0.22977022977022976,3,6,0.07909604519774012,0.1386861313868613,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,23,8,0.3196803196803197,3,6,0.07062146892655367,0.13138686131386862,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,23,8,0.3196803196803197,3,8,0.07909604519774012,0.145985401459854,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,2,9,0.17182817182817184,3,14,0.06779661016949153,0.12408759124087591,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,2,9,0.17182817182817184,3,15,0.05649717514124294,0.11678832116788321,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,2,9,0.17182817182817184,3,14,0.059322033898305086,0.11678832116788321,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,3,9,0.17182817182817184,3,14,0.06779661016949153,0.12408759124087591,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,3,9,0.17182817182817184,3,15,0.05649717514124294,0.11678832116788321,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,3,9,0.17182817182817184,3,14,0.059322033898305086,0.11678832116788321,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,4,9,0.17182817182817184,3,15,0.059322033898305086,0.11678832116788321,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,4,9,0.17182817182817184,3,14,0.062146892655367235,0.11678832116788321,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,4,9,0.17182817182817184,3,14,0.062146892655367235,0.12408759124087591,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,4,9,0.17182817182817184,3,14,0.062146892655367235,0.11678832116788321,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,4,9,0.17182817182817184,3,15,0.059322033898305086,0.11678832116788321,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
