Make,Year,Engine Fuel Type,Engine Cylinders,Vehicle Style,highway MPG,city mpg,MSRP,Transmission Type_AUTOMATED_MANUAL,Transmission Type_AUTOMATIC,Transmission Type_DIRECT_DRIVE,Transmission Type_MANUAL,Transmission Type_UNKNOWN,Vehicle Size_Compact,Vehicle Size_Large,Vehicle Size_Midsize,Driven_Wheels_all wheel drive,Driven_Wheels_four wheel drive,Driven_Wheels_front wheel drive,Driven_Wheels_rear wheel drive
4,21,8,3,8,0.07344632768361582,0.1386861313868613,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,21,8,3,6,0.07909604519774012,0.1386861313868613,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,21,8,3,8,0.07909604519774012,0.145985401459854,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,21,8,3,8,0.07909604519774012,0.13138686131386862,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,21,8,3,6,0.07909604519774012,0.13138686131386862,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,22,8,3,8,0.07909604519774012,0.13138686131386862,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,22,8,3,6,0.07344632768361582,0.12408759124087591,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,22,8,3,8,0.07909604519774012,0.145985401459854,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,22,8,3,6,0.07909604519774012,0.13138686131386862,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,23,8,3,6,0.07627118644067797,0.13138686131386862,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,23,8,3,8,0.07909604519774012,0.145985401459854,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,23,8,3,8,0.07909604519774012,0.1386861313868613,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,23,8,3,6,0.07909604519774012,0.1386861313868613,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,23,8,3,6,0.07909604519774012,0.1386861313868613,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,23,8,3,6,0.07062146892655367,0.13138686131386862,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,23,8,3,8,0.07909604519774012,0.145985401459854,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2,9,3,14,0.06779661016949153,0.12408759124087591,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,2,9,3,15,0.05649717514124294,0.11678832116788321,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,2,9,3,14,0.059322033898305086,0.11678832116788321,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,3,9,3,14,0.06779661016949153,0.12408759124087591,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,9,3,15,0.05649717514124294,0.11678832116788321,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,3,9,3,14,0.059322033898305086,0.11678832116788321,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,4,9,3,15,0.059322033898305086,0.11678832116788321,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,4,9,3,14,0.062146892655367235,0.11678832116788321,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,4,9,3,14,0.062146892655367235,0.12408759124087591,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,4,9,3,14,0.062146892655367235,0.11678832116788321,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,4,9,3,15,0.059322033898305086,0.11678832116788321,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
12,27,7,1,6,0.09887005649717515,0.1897810218978102,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,27,7,1,6,0.09887005649717515,0.1897810218978102,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,27,7,1,6,0.09887005649717515,0.1897810218978102,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,1,9,1,14,0.07344632768361582,0.13138686131386862,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,1,9,3,14,0.07062146892655367,0.12408759124087591,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,2,9,3,14,0.07062146892655367,0.12408759124087591,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,2,9,1,14,0.07344632768361582,0.13138686131386862,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,3,9,1,14,0.07344632768361582,0.13138686131386862,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,3,9,3,14,0.07062146892655367,0.12408759124087591,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,26,8,1,8,0.09887005649717515,0.1678832116788321,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,26,8,1,6,0.096045197740113,0.1678832116788321,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,26,8,3,6,0.08757062146892655,0.145985401459854,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,26,8,1,8,0.09887005649717515,0.1678832116788321,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,26,8,1,6,0.096045197740113,0.16058394160583941,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
